,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,0,Thung Song,TH,8.1645,99.6804,75.31,96,99,3.24,1619210085
1,1,Bethel,US,41.3712,-73.414,61.0,21,1,17.27,1619210085
2,2,Mataura,NZ,-46.1927,168.8643,45.0,96,53,1.01,1619210086
3,3,Ushuaia,AR,-54.8,-68.3,42.8,87,75,2.3,1619209888
4,4,Kapaa,US,22.0752,-159.319,80.6,61,40,14.97,1619210086
5,5,Hilo,US,19.7297,-155.09,75.2,78,90,4.61,1619210087
6,6,Faanui,PF,-16.4833,-151.75,80.53,74,73,10.96,1619210087
7,7,Constitución,CL,-35.3333,-72.4167,60.96,64,0,9.86,1619210088
8,8,Pisco,PE,-13.7,-76.2167,71.6,68,0,10.36,1619210078
9,9,Carutapera,BR,-1.195,-46.02,78.04,90,82,5.46,1619210088
10,10,Maryborough,AU,-25.5333,152.7,57.36,76,74,4.0,1619210089
11,11,Vaini,TO,-21.2,-175.2,80.6,89,20,2.3,1619210089
12,12,Yaan,NG,7.3833,8.5667,78.75,77,100,5.41,1619210090
13,13,Bandi̇̄pur,NP,27.9333,84.4167,63.27,28,0,3.87,1619210090
14,14,Jamestown,US,42.097,-79.2353,53.6,32,1,16.11,1619209952
15,15,Cap Malheureux,MU,-19.9842,57.6142,78.01,79,99,3.0,1619210091
16,16,Bluff,NZ,-46.6,168.3333,45.0,96,76,1.01,1619210091
17,17,Cabo San Lucas,MX,22.8909,-109.9124,84.0,44,40,4.61,1619210033
18,18,Airai,TL,-8.9266,125.4092,57.18,88,25,2.64,1619210092
19,19,Grand-Lahou,CI,5.1367,-5.0242,82.98,81,100,12.03,1619210092
20,20,Saint Paul Harbor,US,57.79,-152.4072,39.2,87,90,9.22,1619210093
21,21,Barrow,US,71.2906,-156.7887,17.6,79,1,6.91,1619210093
22,22,Pevek,RU,69.7008,170.3133,10.36,91,52,4.36,1619210094
23,23,Diamantino,BR,-14.4086,-56.4461,82.33,60,38,3.71,1619210094
24,24,Itupiranga,BR,-5.1347,-49.3267,87.8,93,75,2.3,1619210094
25,25,Norman Wells,CA,65.282,-126.8329,30.2,40,40,11.5,1619210095
26,26,New Norfolk,AU,-42.7826,147.0587,51.01,85,97,9.04,1619210095
27,27,Punta Arenas,CL,-53.15,-70.9167,50.0,87,75,5.75,1619210095
28,28,Provideniya,RU,64.3833,-173.3,39.0,60,89,3.78,1619210096
29,29,Carnarvon,AU,-24.8667,113.6333,62.6,88,0,5.75,1619210096
30,30,Varkaus,FI,62.3153,27.873,37.0,93,75,8.05,1619210097
31,31,Walvis Bay,,-22.9575,14.5053,64.4,68,6,2.3,1619210097
32,32,Kaeo,NZ,-35.1,173.7833,61.0,94,14,5.01,1619210097
33,33,Kruisfontein,ZA,-34.0033,24.7314,60.01,87,5,4.0,1619210098
34,34,Hermanus,ZA,-34.4187,19.2345,60.01,82,99,4.41,1619210098
35,35,Souillac,MU,-20.5167,57.5167,78.8,78,75,10.36,1619210099
36,36,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,16.11,1619210099
37,37,Rikitea,PF,-23.1203,-134.9692,79.09,67,100,17.78,1619210099
38,38,Dunedin,NZ,-45.8742,170.5036,53.01,91,55,3.15,1619209952
39,39,Mana,GF,5.6592,-53.7767,78.4,87,100,11.61,1619210100
40,40,Ligayan,PH,4.6533,119.4706,83.52,70,100,6.24,1619210100
41,41,Jumla,NP,29.2747,82.1838,45.66,79,92,6.2,1619210101
42,42,Saint-Philippe,RE,-21.3585,55.7679,75.2,78,20,8.05,1619210101
43,43,Udachny,RU,66.4167,112.4,21.15,87,96,8.5,1619209993
44,44,Cape Town,ZA,-33.9258,18.4232,61.0,94,0,3.44,1619210074
45,45,Chokurdakh,RU,70.6333,147.9167,-6.41,97,80,1.99,1619210102
46,46,George Town,MY,5.4112,100.3354,79.0,89,40,3.44,1619209822
47,47,São José da Coroa Grande,BR,-8.8978,-35.1478,79.25,79,7,7.2,1619210104
48,48,Talnakh,RU,69.4865,88.3972,31.51,97,100,10.27,1619209991
49,49,Cuauhtémoc,MX,28.4167,-106.8667,66.99,9,0,11.99,1619209880
50,50,Isangel,VU,-19.55,169.2667,80.06,80,76,10.51,1619210105
51,51,Hobart,AU,-42.8794,147.3294,51.8,71,40,11.5,1619210105
52,52,Dawson Creek,CA,55.7666,-120.2362,39.2,35,40,6.91,1619210105
53,53,Shitanjing,CN,39.2342,106.3439,50.18,91,100,13.2,1619210106
54,54,Benalla,AU,-36.55,145.9833,39.2,100,90,1.92,1619210106
55,55,Acapulco de Juárez,MX,16.8634,-99.8901,87.8,58,90,6.91,1619210107
56,56,Kathu,TH,7.9178,98.3332,84.99,100,20,4.61,1619210107
57,57,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,67,75,11.5,1619210108
58,58,Ribeira Grande,PT,38.5167,-28.7,57.2,77,40,29.93,1619210108
59,59,Mar del Plata,AR,-38.0023,-57.5575,75.2,64,75,6.91,1619210030
60,60,Phan Thiet,VN,10.9333,108.1,77.38,83,89,5.82,1619210109
61,61,Hervey Bay,AU,-25.2986,152.8535,60.01,77,81,8.05,1619210109
62,62,Ixtapa,MX,20.7,-105.2,84.2,61,1,11.5,1619210110
63,63,Katsuura,JP,35.1333,140.3,53.6,66,75,5.75,1619210110
64,64,Anadyr,RU,64.75,177.4833,12.2,92,0,6.71,1619210110
65,65,Tabou,CI,4.423,-7.3528,81.48,82,98,8.7,1619210111
66,66,Fort Nelson,CA,58.8053,-122.7002,33.8,47,75,8.05,1619210111
67,67,Naryan-Mar,RU,67.6713,53.086999999999996,31.84,89,77,8.32,1619210112
68,68,Maceió,BR,-9.6658,-35.7353,80.6,78,20,10.36,1619209992
69,69,Saskylakh,RU,71.9167,114.0833,33.58,96,100,18.95,1619210112
70,70,Sinnamary,GF,5.3833,-52.95,77.86,87,100,12.95,1619210113
71,71,Panama City,PA,8.9936,-79.5197,89.6,66,40,14.97,1619209947
72,72,Bengkulu,ID,-3.8004,102.2655,73.83,89,87,3.49,1619210110
73,73,Baruun-Urt,MN,46.6806,113.2792,34.75,38,53,11.97,1619210114
74,74,Atuona,PF,-9.8,-139.0333,80.11,80,28,22.08,1619210114
75,75,Lompoc,US,34.6391,-120.4579,60.01,62,0,6.91,1619209977
76,76,Albany,US,42.6001,-73.9662,60.01,21,5,1.99,1619210115
77,77,Dinguiraye,GN,11.3,-10.7167,86.86,38,96,4.09,1619210115
78,78,Seymchan,RU,62.8833,152.4333,16.25,87,100,14.03,1619209994
79,79,Lebyazh'ye,RU,55.2689,66.4947,41.77,48,100,10.89,1619210116
80,80,Busselton,AU,-33.65,115.3333,62.01,73,99,5.93,1619210116
81,81,Caesarea,IL,32.5189,34.9046,66.2,88,0,5.64,1619210117
82,82,Yellowknife,CA,62.456,-114.3525,16.0,53,90,11.5,1619209890
83,83,Cabo Rojo,PR,18.0866,-67.1457,84.99,64,58,4.0,1619210117
84,84,Dhidhdhoo,MV,6.8833,73.1,83.16,75,6,7.02,1619209971
85,85,East London,ZA,-33.0153,27.9116,65.05,76,10,10.63,1619210118
86,86,Yabrūd,SY,33.9674,36.6574,66.2,24,0,8.05,1619210118
87,87,Aleksandrov Gay,RU,50.147,48.5704,46.4,93,100,5.39,1619210119
88,88,Kuching,MY,1.55,110.3333,75.2,100,20,2.73,1619210119
89,89,Muli,MV,2.9167,73.5667,83.1,69,19,12.95,1619210119
90,90,Tasiilaq,GL,65.6145,-37.6368,39.2,45,90,5.75,1619210120
91,91,Tiksi,RU,71.6872,128.8694,4.64,98,97,7.18,1619210120
92,92,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,75,10.36,1619210121
93,93,Upernavik,GL,72.7868,-56.1549,32.94,77,100,6.42,1619210121
94,94,Codrington,AU,-38.2667,141.9667,53.11,88,100,7.52,1619210121
95,95,Sladkovo,RU,55.5284,70.3385,37.27,53,99,11.54,1619210122
96,96,Khani,GE,41.9563,42.9566,57.2,58,0,11.5,1619210122
97,97,Flinders,AU,-34.5833,150.8552,48.99,80,86,1.01,1619210122
